,amplitude,beyond_1_std,beyond_2_std,cusum,eta,eta_e,inter_percentile_range_25,inter_percentile_range_10,kurtosis,linear_fit_slope,linear_fit_slope_sigma,linear_fit_reduced_chi2,linear_trend,linear_trend_sigma,magnitude_percentage_ratio_40_5,magnitude_percentage_ratio_20_10,maximum_slope,mean,median_absolute_deviation,median_buffer_range_percentage_5,percent_amplitude,percent_difference_magnitude_percentile_5,percent_difference_magnitude_percentile_20,period_0,period_s_to_n_0,period_1,period_s_to_n_1,period_2,period_s_to_n_2,periodogram_amplitude,periodogram_beyond_1_std,periodogram_beyond_2_std,periodogram_cusum,periodogram_eta,periodogram_inter_percentile_range_25,periodogram_standard_deviation,periodogram_percent_amplitude,chi2,skew,standard_deviation,stetson_K,weighted_mean,tag,tag_detailed,Comments
695211400101443,1.5149994,0.36752138,0.017094018,0.22096162,0.85765284,935830850.0,1.1339989,1.8733997,-0.7370138,-0.0005626454,0.00017229066,136.93213,-0.000612024,0.0017896704,0.16553214,0.7275537,1045.4053,19.0417,0.4979992,0.8034188,1.8969994,0.11513375,0.071226954,27.3971,11.174375,1.0367218,7.421856,0.96378165,5.176361,10.55593,0.08178711,0.025146484,0.15673408,0.010420006,1.0039096,1.7921369,20.561722,135.84462,-0.3797829,0.7046555,0.8705593,18.301554,artefact,,empty field fits
695211400134257,2.3440003,0.24840765,0.050955415,0.20820394,1.3114613,2778140200.0,1.0394993,1.6773987,2.1567042,-0.009566954,8.08865e-05,304.26614,-0.0036824187,0.0014069068,0.1353163,0.74782586,1139.4818,19.121689,0.38100052,0.82802546,3.5239992,0.11648054,0.06486721,0.99223375,10.393483,1.0284362,9.508439,164.78714,9.463315,5.920559,0.117370605,0.041748047,0.16495481,0.03852764,0.96494657,1.0519834,11.262469,391.99707,-1.228385,0.73680925,0.7359435,17.9627,artefact,,empty field fits; nearby Nova event M31N 1926-07c
695211400133656,1.6145,0.39,0.02,0.23633337,1.2086061,2915913500.0,1.281498,1.9749985,-0.9135058,-0.003534214,8.707226e-05,169.89258,-0.00015552313,0.0018056276,0.28786933,0.74962145,1765.1041,18.908974,0.6365013,0.81,2.098999,0.12016698,0.07777376,144.78716,9.566132,0.99217826,6.5115895,2.100539,6.1599445,4.744601,0.106933594,0.044677734,0.16316743,0.04934259,0.8798859,0.90462345,8.906256,184.81615,-0.32955697,0.76180714,0.8385918,18.103882,artefact,,empty field fits; near M31 center
695211400134643,1.5314999,0.2735849,0.056603774,0.2711808,1.0040765,1450286600.0,0.7600002,1.7486992,0.7920077,-0.0062671187,9.3280585e-05,164.4776,-0.003777719,0.0014805326,0.059712306,0.6202327,979.7625,19.152859,0.26850128,0.8207547,2.3985023,0.114343114,0.055888508,176.55136,11.450202,0.99325657,6.157291,1.0045596,5.7190986,7.876385,0.10522461,0.039794922,0.21455674,0.042161044,1.2231877,1.2898962,15.205954,205.90242,-1.2329788,0.679399,0.86312854,18.184935,artefact,,empty field fits; near M31 center
695211400134038,1.5929995,0.26890758,0.05042017,0.22188431,1.3520218,517422340.0,0.78775024,1.2682018,0.9464185,-0.0035404915,3.7978316e-05,961.4363,-0.0028461819,0.0012756044,0.20626193,0.7656515,531.6875,17.063015,0.40399933,0.8907563,2.163,0.112943925,0.05680692,132.87871,7.6899395,0.9911391,6.577382,71.18502,4.8598213,5.210471,0.12060547,0.0546875,0.13941681,0.04371912,1.111709,1.2207239,9.811195,1026.9146,-0.770762,0.57462955,0.77423316,16.801588,artefact,M31 center,M31 center
695211400133905,2.0085,0.2647059,0.05147059,0.20105374,1.1116099,3095530000.0,0.8290005,1.3215008,1.7781198,-0.0051510995,4.3805107e-05,613.2972,-0.0018146969,0.0012686969,0.19618349,0.73128986,1245.1854,17.756859,0.41349888,0.9117647,2.4144993,0.09446542,0.054272328,194.94139,6.3940744,32.005302,4.984049,3.8155787,4.774501,3.5638587,0.1303711,0.05810547,0.1712463,0.045951575,0.9446762,0.9771722,6.5890436,711.20154,-0.7844955,0.6043248,0.73832375,17.322025,artefact,M31 center,M31 center
695211400133964,1.5994997,0.3181818,0.036363635,0.15295106,1.2981815,1101375600.0,0.8899994,1.5279999,0.18799734,-0.005575013,8.044564e-05,231.04922,-0.0030710376,0.0015165061,0.14400005,0.7156415,1022.3604,18.548344,0.43349934,0.8727273,1.8610001,0.10764842,0.058856778,6.8903136,5.1402497,200.58469,4.7533674,72.21049,4.629381,2.577479,0.13623047,0.052734375,0.19195677,0.06142177,0.8579289,0.84212583,4.6068287,272.99005,-0.43164688,0.6273388,0.7897945,17.942,artefact,,empty field fits; near M31 center
695211400134208,1.7040005,0.34,0.02,0.20736729,1.5946649,1558342300.0,1.1504993,1.9349995,-0.40811682,-0.004140013,0.00010751687,159.08067,-0.0027684588,0.0018039203,0.21964394,0.70749444,1260.475,19.199852,0.56550026,0.8,2.3495007,0.12044107,0.07087213,133.28561,8.048672,4.4641113,7.0029283,4.7360373,3.4897401,3.397815,0.11816406,0.03515625,0.15906633,0.045284085,0.67763853,0.7664514,6.42554,172.44795,-0.6299614,0.75989646,0.8379169,18.251207,artefact,,empty field fits; near M31 center
695211400133292,1.7325001,0.22222222,0.06837607,0.19750269,1.1481102,3192790500.0,0.54049873,1.276001,3.0293715,-0.010975517,7.417046e-05,284.82324,-0.0043724915,0.0012186185,0.116757594,0.5314249,1135.2521,18.432579,0.2709999,0.9059829,2.3180008,0.10461905,0.03663418,1.5887359,5.6386724,2.6915553,5.145059,134.93665,5.0730677,4.5256047,0.2368164,0.04638672,0.16219278,0.040986303,1.4484861,1.3107762,7.692636,471.1686,-1.3773469,0.57677907,0.77389985,17.780441,artefact,,empty field fits; near M31 center
695211400132782,2.1414995,0.23893805,0.03539823,0.15720741,1.6762147,577461440.0,0.7132511,1.5860004,3.660393,-0.012452671,8.7066735e-05,341.04663,-0.003992171,0.0014661612,0.13548908,0.5935701,637.3891,18.663054,0.33800125,0.86725664,3.1539993,0.11225608,0.05018672,3.635429,7.5266495,4.144548,5.494601,210.45094,5.2278357,4.009264,0.12109375,0.04736328,0.15789366,0.04122532,0.81514794,0.9557979,7.5168495,520.6244,-1.171845,0.65977955,0.6963122,17.840738,artefact,,empty field fits; near M31 center
