,amplitude,beyond_1_std,beyond_2_std,cusum,eta,eta_e,inter_percentile_range_25,inter_percentile_range_10,kurtosis,linear_fit_slope,linear_fit_slope_sigma,linear_fit_reduced_chi2,linear_trend,linear_trend_sigma,magnitude_percentage_ratio_40_5,magnitude_percentage_ratio_20_10,maximum_slope,mean,median_absolute_deviation,median_buffer_range_percentage_5,percent_amplitude,percent_difference_magnitude_percentile_5,percent_difference_magnitude_percentile_20,period_0,period_s_to_n_0,period_1,period_s_to_n_1,period_2,period_s_to_n_2,periodogram_amplitude,periodogram_beyond_1_std,periodogram_beyond_2_std,periodogram_cusum,periodogram_eta,periodogram_inter_percentile_range_25,periodogram_standard_deviation,periodogram_percent_amplitude,chi2,skew,standard_deviation,stetson_K,weighted_mean
PCA15,-0.020050598,0.052997578,0.12979233,0.03545542,0.0030574575,0.18517126,-0.051977456,-0.017213628,0.24343024,-0.018558428,0.06909718,0.23299053,0.05472663,-0.050585397,0.32825363,-0.34932688,0.12693137,0.21468285,-0.04419309,0.52827317,-0.043369234,-0.036474004,-0.0692938,0.10628523,-0.0452684,0.08584566,-0.05425307,0.06596425,-0.051190235,0.039743204,0.069541216,0.0014711217,0.0036144347,-0.17130123,0.105202325,0.10560676,0.03886796,0.26661354,0.008578138,-0.032973796,0.15956461,0.21980745
PCA16,-0.02009185,0.250272,-0.094511464,0.010605872,0.0038130432,0.09446953,-0.012568302,-0.033854127,0.19353263,0.002145052,0.03435482,0.12460482,0.03394881,-0.03072853,-0.70512176,0.46259496,0.046486065,0.09783562,-0.01005283,0.28423682,-0.021944985,-0.015796054,0.01812917,0.034377426,-0.02187249,0.032161623,-0.027301848,0.026111022,-0.02687873,0.018863231,0.039558128,-0.013647815,-0.010777394,-0.10619682,0.048765384,0.05356786,0.018417217,0.13985454,0.012963113,-0.0238704,0.046696484,0.100621946
PCA17,-0.02422455,-0.0083445385,0.014963804,0.07384954,0.0957912,-0.41348097,-0.01162684,-0.01035513,0.06840348,0.0788319,0.14002132,0.13085075,0.107767016,0.056560386,0.016193688,0.0018489277,-0.25066152,-0.00876084,-0.0063173175,0.22595039,-0.030809894,-0.014251202,-0.018445201,0.062033296,-0.05476765,0.03111361,-0.08663896,0.0054150075,-0.10196828,-0.1461213,-0.30479768,-0.27925783,-0.1738738,0.2081874,-0.4996729,-0.20544004,-0.1427248,0.1483369,0.095356464,-0.010431123,0.005697305,-0.0062593995
PCA18,0.070507295,-0.3490303,-0.28767788,-0.006965965,-0.070426896,0.10059567,-0.03763315,-0.055219352,-0.5737728,-0.010053434,-0.031337827,0.14398296,-0.030316822,-0.07327065,-0.0035294294,0.10744667,0.27753344,-0.03822291,-0.032313533,0.30304086,0.05233242,-0.030945823,-0.037340023,0.05507782,-0.041822217,0.037115097,-0.02744243,0.018586025,-0.022166442,-0.025132857,-0.15746011,0.09220105,0.05078046,0.19938508,0.057218578,0.05093901,-0.025064629,0.16112623,0.2800113,-0.0258389,-0.16965209,-0.034669943
PCA19,-0.06911819,0.16078486,0.10092346,0.10124576,-0.14791328,0.28179383,-0.0028617904,0.0011558831,0.24654883,0.056755424,-0.04883401,-0.026031062,0.030486614,-0.023369342,0.020430326,-0.020001993,0.5256867,-0.28699923,-0.0031463802,0.02674584,-0.06454928,-0.0109423995,-0.00081446767,-0.065862834,-0.05264905,-0.049381614,-0.06155324,-0.048579678,-0.07108766,-0.118414424,-0.1264112,-0.24658671,-0.04588647,0.41470662,-0.006580829,0.00022738984,-0.11874087,-0.039425656,-0.16787297,-0.0151365455,0.022229424,-0.2903481
PCA20,0.06707936,0.0342897,0.011708897,0.37902313,-0.2856291,-0.10408889,0.06635603,0.061984226,-0.06780805,-0.09818289,0.06749354,0.010618284,0.034154415,0.07832,0.023438439,-0.004583478,0.05418352,-0.21970922,0.071682274,0.25884044,0.058502078,0.061487317,0.064961076,-0.19875942,0.11222625,-0.16726014,0.15642676,-0.1328648,0.1624558,-0.13206035,0.22989143,0.17369093,-0.25153583,-0.35594058,-0.019682964,-0.2731658,-0.13203232,0.027932633,0.047233842,0.06198364,0.00032499386,-0.2236396
PCA21,-0.013797425,-0.12142031,-0.0887326,0.07213494,-0.4855791,0.004113011,-0.07057388,-0.07342696,0.044543892,-0.1590486,-0.22035737,-0.013328193,0.074045874,-0.21509914,-0.0181996,0.016505394,-0.05801409,0.33111778,-0.07311553,-0.2246605,-0.022266157,-0.07061965,-0.07277847,-0.057435952,0.03966251,-0.05138667,0.06887412,-0.041342467,0.077501774,-0.27114516,-0.07058406,-0.21393907,-0.05670147,0.07614886,0.1556324,-0.13267912,-0.27236903,0.04617031,0.036043074,-0.06901135,0.17440216,0.33160973
PCA22,-0.14411202,-0.40691602,-0.15319985,0.46952695,0.27319047,0.26634827,-0.008679986,-0.019240465,0.0037170053,0.024945796,0.269133,-0.00078519434,0.012250796,0.21100733,-0.09044443,0.0012423396,-0.084011585,0.09583281,-0.019111767,-0.07183501,-0.14839108,-0.012541879,-0.04158844,-0.19048627,0.034578554,-0.1559618,0.011941431,-0.11401224,0.0003686212,0.08257486,0.097183265,-0.06029369,0.066925436,0.15912683,-0.040581133,-0.030921988,0.0823946,0.021574356,-0.13219494,-0.019829465,0.3007315,0.096411936
PCA23,-0.031932518,-0.044013858,-0.0069760736,0.2012389,-0.22430319,-0.1158803,-0.040453378,-0.0390063,0.120778546,-0.16947535,-0.10793747,-0.05605112,0.113388814,-0.09747875,-0.028766353,-0.006000083,0.15633884,0.06441049,-0.049640164,-0.12948477,-0.027695142,-0.032844014,-0.03466274,-0.0047021396,-0.20183769,0.0009744931,-0.1599557,0.003894627,-0.121080935,0.17716047,-0.15204254,0.5780396,-0.21438931,0.05544012,-0.3636769,0.23838574,0.18001285,-0.032325536,-0.029966012,-0.038302578,0.099877,0.061933234
PCA24,-0.008501719,-0.38835824,-0.1417367,-0.3598255,0.04590246,-0.2403166,0.08919479,0.06458704,0.059389614,-0.24124175,-0.09340672,-0.089301296,0.2749456,-0.0072388807,-0.09813833,-0.023254327,0.15055746,-0.16358715,0.07661471,0.12189071,-0.038366944,0.084330365,0.067033716,0.10977506,0.004464563,0.091588885,-0.0010186546,0.06426927,-0.002284959,-0.009249397,0.039004967,-0.093835235,0.012393296,-0.13717164,0.05057983,0.014797313,-0.0095028505,-0.055038624,-0.18325186,0.055457853,0.50294876,-0.17490003
PCA25,0.16248377,0.1945612,0.08989911,0.19108945,0.29883155,0.095125824,-0.048376277,-0.033755824,-0.06619323,-0.5394205,-0.081216514,-0.1224508,0.56010264,0.0011352263,0.029537305,0.0029637814,-0.09817427,-0.014929667,-0.048163414,0.006610006,0.24813111,-0.04343085,-0.034802675,-0.060351666,-0.019253597,-0.04474698,-0.014571618,-0.034482826,-0.0125918165,-0.0016186712,-0.057484284,-0.09171239,0.081806615,0.08125469,0.10597527,0.06504939,-0.002132453,0.021419547,0.12932594,0.0045360522,-0.12144506,-0.029589608
PCA26,0.050481066,-0.03928911,0.0060667023,-0.29530978,-0.4089258,0.53045493,0.08387607,0.08070435,-0.008262183,-0.05741986,0.11191674,-0.029639132,0.1431286,0.15245925,-0.009754212,-0.0121623725,-0.45641738,-0.066826314,0.08527014,0.1150009,0.081956886,0.081842825,0.070825994,0.05139461,0.00904201,0.040316336,-0.023479491,0.028823107,-0.02449353,0.0717337,0.075493634,0.06503135,-0.073494345,0.21218015,-0.19926631,-0.059606742,0.07233814,-0.0013329834,0.020226907,0.08419524,0.035392493,-0.070626035
PCA27,-0.14378996,0.06683603,-0.005550526,-0.14012775,-0.26528537,-0.1550645,-0.13196969,-0.11193217,-0.14577562,-0.12756516,0.39177936,-0.016053475,0.20072827,0.2149676,0.0235423,0.029733822,0.27114835,0.048082083,-0.13432983,-0.17913073,-0.1234822,-0.12226483,-0.13218267,0.032258324,-0.040321052,0.027126163,-0.11590327,0.024374876,-0.12894897,0.16314986,0.39210236,-0.2588473,0.0143251205,-0.08795254,-0.10969478,-0.09398499,0.16308701,0.04785968,0.05253313,-0.090528026,-0.159245,0.050455242
PCA28,-0.18417512,0.025286399,-0.0072699967,-0.22139929,0.027260505,0.01852192,-0.021471411,-0.02155824,0.115777396,-0.09696665,0.43914592,-0.005212527,0.14598319,0.25029224,0.017842323,0.011410564,0.068726294,0.010507688,-0.018135339,-0.0838311,-0.19503517,-0.054205783,-0.044286557,0.009147435,0.15707627,0.004110828,0.20305595,0.0028945943,0.1832428,-0.17370908,-0.45882306,0.35244995,-0.033823133,-0.0229628,0.21534927,-0.014516305,-0.17463289,0.07068321,-0.0025114564,-0.03776829,-0.09632556,0.013140276
PCA29,0.39209026,0.014419869,0.039038498,-0.052422065,-0.037281983,-0.017822191,-0.24522384,-0.15292773,0.033213735,0.16779861,0.23758528,-0.0067857504,-0.1375943,0.101995364,-0.031988073,0.008337453,0.03579189,-0.06262255,-0.2678736,-0.06423836,0.57697374,-0.15567534,-0.23985687,0.007181935,0.022815965,0.0049981587,0.020122139,0.004439708,0.009574087,-0.017283112,-0.070487335,0.054196797,-0.002098385,-0.003419967,0.020998193,-0.00798016,-0.017737476,-0.018860662,-0.0046047,-0.061183374,0.3535884,-0.07298934
PCA30,0.010750991,-0.0067815557,-0.0038208747,-0.0315538,0.044404753,0.02034575,0.019051779,0.001384528,-0.047078613,0.011961492,0.15194754,-0.105130464,-0.017119367,-0.06320523,0.00019426085,-0.0002548918,-0.017482355,-0.01758843,0.027917143,-0.027347105,-0.008183822,-0.031282146,-0.016608387,0.015154611,-0.25876966,0.007732952,0.24881466,0.005136177,0.3464008,-0.26232287,0.2764067,-0.088906735,-0.025081076,0.004075572,-0.27907464,0.62487066,-0.25811008,0.11521223,0.0037376806,0.0009419732,-0.018033758,-0.017372854
PCA31,0.06164331,-0.014003582,0.011511005,0.015984073,0.005680267,0.009674529,0.14426865,0.027725765,0.010317003,0.07256301,0.22958302,-0.5661644,-0.046343494,-0.4159017,-0.015147924,-0.018547505,-0.0163913,-0.05002474,0.17340292,-0.06056959,0.0051130056,-0.102999955,-0.01200442,-0.000114277005,0.04417207,0.0022109435,-0.06807483,0.0021203756,-0.09121701,0.071748674,-0.040527448,0.00941588,0.0065784305,-0.017383337,0.056169547,-0.12372492,0.0715446,0.56913364,-0.010169382,-0.017230228,0.010663107,-0.046415705
PCA32,-0.12590522,0.01673222,-0.018037511,-0.018922968,0.010988135,-0.024877684,-0.2343921,0.08433521,-0.008115737,0.04328437,-0.2875956,-0.2953868,-0.044491597,0.34273374,0.027320057,0.04179153,0.030039579,0.03701885,-0.23583776,0.049284488,0.018309474,0.24455786,-0.025784403,-0.01043725,0.49083653,-0.004909195,-0.009362416,-0.0037932992,-0.2744664,-0.11784034,0.093422696,0.05329039,-0.004039347,0.0151013285,-0.10792002,0.21546398,-0.11678043,0.27713236,0.005707279,0.11786018,-0.013633229,0.024765197
PCA33,-0.06058994,0.0107116755,-0.016640276,-0.008443451,-0.010151077,-0.0030427733,-0.24083412,0.10678465,0.023705933,0.025503028,-0.16527137,-0.234977,-0.05107269,0.23850402,0.023938872,0.039122857,0.0026166067,0.013541974,-0.25592634,0.035423763,-0.031417295,0.2896198,0.008572578,0.010782786,-0.57398987,0.0034515932,0.030433584,0.0020703152,0.35729444,0.11967703,-0.11149352,-0.049796894,0.0015556812,-0.010726988,0.099691,-0.24074009,0.11715565,0.21092188,-0.0010531768,0.124154836,-0.0056019723,0.006423476
