,amplitude,beyond_1_std,beyond_2_std,cusum,eta,eta_e,inter_percentile_range_25,inter_percentile_range_10,kurtosis,linear_fit_slope,linear_fit_slope_sigma,linear_fit_reduced_chi2,linear_trend,linear_trend_sigma,magnitude_percentage_ratio_40_5,magnitude_percentage_ratio_20_10,maximum_slope,mean,median_absolute_deviation,median_buffer_range_percentage_5,percent_amplitude,percent_difference_magnitude_percentile_5,percent_difference_magnitude_percentile_20,period_0,period_s_to_n_0,period_1,period_s_to_n_1,period_2,period_s_to_n_2,periodogram_amplitude,periodogram_beyond_1_std,periodogram_beyond_2_std,periodogram_cusum,periodogram_eta,periodogram_inter_percentile_range_25,periodogram_standard_deviation,periodogram_percent_amplitude,chi2,skew,standard_deviation,stetson_K,weighted_mean
PCA11,-0.0060813627,-0.016930645,0.005041426,0.10344455,0.03078707,0.061116155,-0.0010994822,-0.00023011118,0.05914374,0.02137402,0.0029237121,-0.01200534,0.026062336,0.009157157,-0.00457415,-0.008229569,0.018787276,-0.0025333315,-0.0022694096,-0.002644144,-0.007951833,-0.00074242055,-0.0014684275,-0.017273106,0.016976655,-0.12210545,0.01277405,0.9366917,0.020745039,-0.0145753585,0.023410995,-0.05570684,-0.1823881,0.14294446,-0.062869586,-0.06092729,-0.014665707,-0.011194965,0.13846968,-0.0005384765,0.02531142,-0.0023135224
PCA12,0.008283529,0.024060024,-0.040975086,0.21239398,-0.049716957,0.39764208,-0.011967756,-0.0152999945,-0.04879238,0.06430102,-0.088288255,-0.029737502,0.1111117,-0.05399598,0.041394427,0.047109887,0.2115537,-0.0015093088,-0.010760784,0.02486556,0.016187936,-0.010632873,-0.0076636076,0.5573498,0.012290891,-0.30282214,0.007684812,0.0091550015,0.015282905,-0.0026725293,-0.037076194,0.11451037,0.4449986,0.13032173,-0.17480917,-0.05369377,-2.7591379e-05,-0.028024603,-0.20812969,-0.008686287,-0.035837714,-0.0023209827
PCA13,0.018835269,-0.038148932,0.1814784,-0.16001782,-0.086104415,0.19126643,0.036277473,0.018442325,0.028899513,0.048252,-0.12518357,-0.018382996,0.06951939,-0.06419951,0.041220397,0.0977571,0.17306831,0.06853025,0.032568336,-0.040443808,0.0012124181,0.03724058,0.04504791,-0.4675684,0.08875738,-0.21959472,0.13624352,0.019821756,0.15825883,0.15379271,0.2908423,0.20366338,0.3105943,0.20250595,0.3937801,0.13103382,0.15088739,-0.021253178,0.0583753,0.024820054,0.062160518,0.06777315
PCA14,-0.009937301,0.29703584,-0.6168517,-0.016748436,-0.022820368,0.2077046,-0.023166522,0.05979739,-0.0052864254,-0.011614494,-0.03603815,-0.024812445,0.0054749623,-0.017350584,-0.16736907,-0.61590755,0.107357055,-0.034057572,-0.022303127,-0.014527366,0.016360238,0.0006612241,-0.020884544,-0.11917588,-0.018254519,-0.011036754,-0.011376448,0.009139016,-0.007936463,0.022022609,0.057187587,0.025321666,-0.045847,-0.03792157,0.15300144,0.07611962,0.020575974,-0.023153681,-0.06961118,-0.0023994762,0.008875521,-0.03584493
PCA15,0.0064238682,-0.14729647,0.110640876,0.010099571,-0.0484173,0.48202235,-0.023939896,-0.052777834,0.0038254927,-0.010163367,-0.07049847,-0.04418342,0.0076902546,-0.028512508,0.075786084,0.20039289,0.23158309,-0.13446549,-0.022224173,0.029972076,0.016014814,-0.03417793,-0.027090102,0.004485473,-0.124513924,0.06934579,-0.14595848,0.027322933,-0.1505344,-0.03324896,-0.057432372,-0.10566903,-0.37463054,-0.3520218,0.33051112,0.22544295,-0.036849048,-0.041328456,-0.2243572,-0.023112733,-0.14521092,-0.13721918
PCA16,-0.0020632884,-0.16858481,0.20547152,-0.010079291,-0.0130627565,0.015047995,-0.03726789,-0.0045350036,0.026069798,0.00058711506,0.05088056,0.095455475,-0.02682662,-0.008645391,0.78250617,-0.51280415,0.0017532036,0.077439904,-0.029152125,0.06868487,-0.012199201,-0.026309859,-0.07492399,0.02512458,-0.014053181,0.014251739,-0.016834706,0.0067118406,-0.01839149,0.0027743876,-0.029557444,-0.021711107,0.017069712,-0.012075408,0.008173887,0.025527466,0.0027382872,0.09395424,-0.0011762918,-0.014270226,0.03175307,0.081927404
PCA17,-0.07602559,0.022042073,-0.102760814,0.008284569,-0.07264671,0.1436291,-0.124735266,-0.12575066,0.07007691,0.006334245,0.22958869,0.42248204,-0.14765899,-0.07951766,-0.1558827,0.1294811,-0.018113606,0.34568492,-0.11276552,0.29052928,-0.07501485,-0.10868208,-0.11865222,-0.0007784553,-0.040937386,0.0139773525,-0.049758885,0.031351034,-0.047674246,0.024699237,-0.097433925,-0.06286113,0.07731101,-0.031219717,0.08810819,0.11596582,0.024177056,0.4122267,0.06338505,-0.10784873,0.028849656,0.36769265
PCA18,0.019449998,0.12576805,0.055769213,-0.05700107,0.13132572,-0.14501628,-0.0062871277,6.452203e-05,-0.016016964,0.026961293,0.013440862,0.042854056,-0.0019735433,-0.04412832,-0.0020421967,-0.0066585243,-0.040041834,0.08907601,-0.0006777942,0.06253822,0.009904206,-0.00076045096,-0.0034531355,0.32611397,0.15081191,0.16266419,0.19226861,0.12663537,0.18278451,0.05091356,0.5228171,0.25856185,-0.05569436,-0.47167185,0.1725729,-0.18445794,0.049055405,0.044582408,-0.18304087,-0.0018770521,-0.00969587,0.09186102
PCA19,-0.02169044,0.25281888,0.16466095,0.28916776,-0.2649425,0.03250269,-4.2228028e-05,0.017566834,0.22105235,0.04460516,0.32925585,0.10089612,-0.063037544,0.17240891,0.006242916,-0.012040384,0.12675834,-0.26703885,0.01848358,0.35232687,-0.020815194,0.007466167,-0.0045617856,-0.20291138,0.049274683,-0.14802802,0.05585015,-0.11123985,0.04918447,-0.055124164,0.26613295,-0.103624105,-0.09466356,0.06008766,-0.13560374,-0.21068628,-0.055187233,0.09090028,-0.11514941,0.011546324,-0.03467814,-0.26143983
PCA20,-0.1139515,0.45146847,0.25838107,-0.20069045,0.14797568,0.050104264,0.012605928,0.023316287,0.5469559,-0.0044178367,-0.043053247,-0.046673447,-0.011155933,-0.034086585,-0.012776479,-0.0308761,-0.14055632,0.07151878,0.0042629503,-0.24749139,-0.08779897,-0.015418276,0.025362745,0.08080296,-0.033590585,0.08499682,-0.088688925,0.0425618,-0.1081197,0.04464209,0.013147697,-0.30723006,0.11397041,0.08979346,0.013249755,0.11514331,0.044123337,-0.044958454,-0.27140465,-0.02085433,0.02639879,0.068168715
PCA21,-0.13211328,-0.10085768,-0.036160666,0.3847401,-0.3016177,0.115073435,-0.050715607,-0.055407517,0.02968195,0.048477113,0.18404509,-0.0841454,-0.07777125,0.040430486,0.015055202,0.013406016,-0.14919265,0.20818794,-0.080513194,-0.6364292,-0.08923546,-0.07931128,-0.06111241,-0.13658854,0.0010493994,-0.09286089,0.045299307,-0.06610468,0.06851033,-0.08486307,0.09905295,0.06625581,-0.10529733,-0.112470254,-0.04706231,-0.105961725,-0.0849257,-0.087080725,-0.07691188,-0.06766623,0.032604653,0.20607166
PCA22,-0.072769254,-0.16786002,-0.109827206,-0.4298118,-0.11050224,0.031350672,-0.04433116,-0.041303374,-0.21557678,0.059558213,0.39078707,-0.02354202,-0.05397522,0.17296919,0.0008292049,0.023939518,0.12529963,-0.10900718,-0.04727602,-0.17967053,-0.07348457,-0.051435955,-0.066960335,0.18417358,0.10940136,0.10065703,0.0716594,0.050714258,0.020223215,-0.09653333,0.13462256,-0.44090465,0.19736257,0.1151345,0.22472088,-0.16409223,-0.09931644,-0.0255264,0.045114323,-0.03630782,0.01442889,-0.108872674
PCA23,-0.031918418,0.11031988,0.04418416,-0.48526895,-0.59694827,0.038450517,0.019849142,0.009443497,0.09318517,0.06260976,0.068861246,-0.0069258846,-0.042833596,0.01570011,0.005807206,0.0015395675,0.020630188,-0.030271389,0.017626725,-0.032554157,-0.03925141,-0.014901206,0.015030749,0.14831103,-0.026431322,0.09946726,-0.021967053,0.058052152,-0.006423898,0.07851431,-0.13460873,0.46140566,-0.17947432,0.058826685,-0.2065182,0.06322372,0.08071756,-0.008346345,0.028814167,-0.005537957,-0.050748415,-0.029159486
PCA24,-0.14327146,-0.20035824,-0.035632215,0.051765427,0.42798945,0.10290998,0.042645767,0.019355461,0.029436871,0.1783162,0.42870972,0.0034044087,-0.2294781,0.21087345,-0.04118827,-0.021559857,-0.098509416,-0.15513447,0.028021455,-0.069238,-0.15150017,0.0011029541,0.016778022,0.0059736073,-0.0047154054,0.032007203,-0.063327104,0.017279938,-0.07808623,0.27099764,0.004546687,0.3175922,0.024235643,0.06769152,-0.078611515,0.23617548,0.27265486,-0.014250645,-0.095657706,-0.0063834935,0.040223826,-0.15094987
PCA25,-0.07909901,-0.39363363,-0.11190237,-0.08085952,-0.2282733,0.104473874,0.11707407,0.08446082,0.018096322,-0.016141448,-0.21019122,-0.007889092,0.020067558,-0.03083665,-0.088159874,-0.03757259,-0.234783,0.034163106,0.11080955,0.17389056,-0.10805112,0.11606643,0.094551474,-0.023541152,-0.07570773,0.0046869703,-0.13320711,0.0064330995,-0.134466,0.11560607,0.3663911,-0.24962777,0.010286853,-0.06248501,-0.27641827,0.042982884,0.11751652,-0.0025954098,-0.19548714,0.057332993,0.39608645,0.03235249
PCA26,-0.14794406,-0.17406549,-0.0735244,0.022715107,0.020761311,-0.28684628,0.040331684,0.02937971,0.23785216,0.3576119,-0.17291094,0.011262968,-0.32784668,-0.124564946,-0.036164843,-0.008816898,0.45905527,0.0056109577,0.03758692,0.021813761,-0.2086709,0.041044638,0.045814857,0.021171693,0.02212558,-0.011917517,0.08171375,-0.002800189,0.08675447,-0.14696276,-0.20295016,0.054965556,-0.05409665,0.019568786,0.11382206,-0.08308729,-0.14799392,-0.024991462,-0.1965881,-0.024432942,0.30278885,0.011027506
