# fieldid, time (part of night), ra (deg), dec (deg)
1585 0.3787 283.4219 15.3311
742 0.3770 62.4184 47.6833
682 0.3736 266.8586 33.3250
1855 0.3716 248.9801 65.6244
1602 0.3715 45.4860 22.5191
1680 0.3686 268.8724 29.7070
724 0.3668 261.1900 40.5108
1497 0.3661 29.3901 8.1352
1723 0.3658 263.3867 36.8950
655 0.3642 55.0454 33.3040
636 0.3616 270.8093 26.1407
1741 0.3578 62.8482 44.0849
539 0.3563 284.8725 11.7568
1633 0.3521 272.7131 22.5207
1762 0.3512 257.0070 44.0804
556 0.3499 44.8565 18.9217
504 0.3497 36.6777 11.7354
1652 0.3488 54.3873 29.7059
811 0.3477 73.3162 62.0395
489 0.3460 295.1257 4.5882
824 0.3427 246.7011 62.0606
762 0.3410 253.6094 47.7028
450 0.3404 26.2559 4.5415
837 0.3395 77.1194 69.2004
701 0.3393 63.0559 40.4950
779 0.3391 71.1110 54.8761
588 0.3387 274.3848 18.9504
1829 0.3328 247.0423 58.4535
607 0.3327 53.6249 26.1223
1699 0.3253 62.5477 36.8971
1798 0.3250 249.6050 51.2639
1551 0.3249 44.2601 15.3278
795 0.3171 246.7209 54.8838
1603 0.3145 52.8748 22.5316
1781 0.3143 72.4687 51.2721
1498 0.3129 36.2535 8.1287
681 0.3129 259.0055 33.3229
1679 0.3107 261.3825 29.7091
656 0.3040 62.8313 33.3056
635 0.3037 263.3255 26.1306
538 0.3024 277.8993 11.7669
1722 0.3019 255.1251 36.8982
743 0.3011 72.2407 47.7025
723 0.3002 252.5730 40.5143
857 0.2989 83.9694 76.3455
1632 0.2964 265.5290 22.5052
505 0.2958 43.6626 11.7440
557 0.2939 52.1082 18.9310
488 0.2913 288.1146 4.5700
1815 0.2913 78.9981 58.4563
1653 0.2896 62.0447 29.7119
1742 0.2866 72.0464 44.0861
451 0.2862 33.2657 4.5398
587 0.2823 267.1116 18.9408
1761 0.2798 247.7556 44.0974
1844 0.2773 83.8837 65.6231
608 0.2745 61.1470 26.1233
702 0.2733 71.6045 40.5140
1552 0.2700 51.3745 15.3399
761 0.2655 243.8361 47.7041
1700 0.2605 70.9263 36.8975
1499 0.2599 43.1122 8.1366
1604 0.2573 60.2619 22.5309
780 0.2545 82.0386 54.8644
680 0.2522 251.1519 33.3223
1678 0.2500 253.5414 29.7117
537 0.2483 270.9236 11.7576
1490 0.2467 344.7195 0.9373
846 0.2466 231.4758 69.2305
1491 0.2466 351.5986 0.9352
1441 0.2465 5.3733 0.9342
1442 0.2464 12.3888 0.9343
1443 0.2464 19.1405 0.9348
1444 0.2463 26.0248 0.9360
634 0.2458 255.8431 26.1342
1797 0.2450 239.2314 51.2746
812 0.2446 86.6527 62.0386
657 0.2439 70.6114 33.3078
506 0.2416 50.6466 11.7365
1828 0.2402 235.0363 58.4599
823 0.2398 233.3650 62.0620
1631 0.2391 258.1107 22.5182
558 0.2377 59.3601 18.9264
487 0.2376 281.1880 4.5685
1721 0.2364 246.6508 36.8988
1782 0.2350 82.7181 51.2696
722 0.2337 243.9569 40.5175
863 0.2334 228.0987 76.3679
452 0.2319 40.2757 4.5331
794 0.2314 235.6208 54.8851
1654 0.2303 69.7031 29.7038
1867 0.2290 92.4372 72.7807
744 0.2269 81.8392 47.6982
586 0.2261 259.8460 18.9408
