804204100023309,DX Lac,Mira; galactic plane,4.0
687207200036504,IRAS 20161+3222,"Mira (Heinze+, 2018); galactic plane ",4.0
539212100011758,NSVS 11119079,"Var; MIRA (Heinze+,2018); galactic plane",3.0
832207400007211,V0584 Cas,M; galactic plane,4.0
730205300083057,Mis V1010  ,SR (Semi-regular variables); galactic plane ,3.0
686210400063845,Mis V0358 ,SR: (Semi-regular variables); galactic plane ,4.0
687214200029520,Mis V1029,M: galactic plane,3.0
730210300048316,NSVS 5874616,Mira?,3.0
801214200040470,V0475 Cep  ,M galactic plane,4.0
591214400022972,ASASSN-V J195021.79+212542.0  ,SR (Semi-regular variables); galactic plane ,4.0
591215200036825,Dauban V61,Var; galactic plane,3.0
801210200035536,NaN ,"Mira (Heinze+, 2018); galactic plane ",4.0
590206200024375,MN Sge,Mira; galactic plane ,4.0
488210100151462,NaN ,high amplitude; galactic plane ,1.0
687207100010778,NaN ,"LPV (Heinze+, 2018); galactic plane",3.0
487207200011951,NSVS J1837538+041603,Mira; galactic plane ,4.0
539210100033970,NaN ,galactic plane ,1.0
539213400112118,NSVS 11155028,L (Slow irregular variables); galactic plane,4.0
540203100052651,ASASSN-V J192406.90+093337.4 ,SR (Semi-regular variables); slightly different behaviour in g and r filter; galactic plane,4.0
806209400036277,NSVS J0053173+623614,L (Slow irregular variables); galactic plane,3.0
488209100035687,Bn V76,M: galactic plane,3.0
686214300036942,V1460 Cyg,M galactic plane,4.0
831216400016457,MGAB-V271,EXOR; eruptive T Tauri stars,4.0
830213400008915,MGAB-V271,EXOR; eruptive T Tauri stars,4.0
730211100051315,[WWV2004] J2049081+413726  ,M galactic plane,4.0
591202400040811,OS Aql,Mira; galactic plane,1.5
687215400006857,IRAS 20198+3553,Mira; galactic plane ,4.0
687203400043132,ASASSN-V J202338.82+294728.6,L (Slow irregular variables); galactic plane,3.0
540202100137921,V0626 Aql,Mira; galactic plane,4.0
687210300085247,MSX6C G073.2741-02.2867,Infra-Red source (Simbad); galactic plane,1.0
639207300042870,TSVSC1 TN-N022202123-293-67-2,Var; galactic plane,4.0
590208400020538,ASASSN-V J190457.30+173810.0,Mira; galactic plane,4.0
831216400035022,[WWV2004] J2215288+643005  ,Mira; galactic plane,1.5
805209200036529,FG Cas,Mira; galactic plane ,4.0
639212400007628,IQ Vul ,Mira; galactic plane ,4.0
831207200012995,NaN ,galactic plane ,1.0
639216100017543,V1105 Cyg,Mira; galactic plane ,4.0
686210100079233,HAT 199-49669 ,"Long-period variable (Hartman+, 2004); galactic plane",4.0
805205400019336,V0857 Cas ,Mira; spikes in r filter; galactic plane ,3.0
803216400039696,Dauban V211 ,"VAR (Watson+, 2006-2014) – means no type; galactic plane",3.0
729210400037338,V1654 Cyg,M galactic plane,4.0
832204100021647,V0569 Cas,M galactic plane,4.0
768206300054256,NaN ,slightly different behaviour in g and r filter; galactic plane,1.0
686209200113097,HAT 199-31703,LPV; galactic plane,4.0
768201400047639,NaN ,galactic plane ,0.0
590211300044742,ASASSN-V J190927.09+191223.0 ,"VAR (Watson+, 2006-2014) - means no type; galactic plane",3.0
