mjd,mag,magerr,clrcoeff
58591.46415,19.324,0.064,0.103
58605.44424,19.458,0.07,0.082
58607.38347,19.354,0.066,0.092
58616.42137,19.332,0.065,0.078
58617.37676,19.337,0.065,0.086
58628.40372,19.371,0.066,0.092
58632.46741,19.261,0.062,0.081
58633.42477,19.406,0.068,0.088
58634.34186,19.188,0.06,0.085
58635.39966,19.353,0.066,0.075
58636.40594,19.346,0.065,0.099
58637.35548,19.29,0.063,0.082
58638.30041,19.355,0.066,0.078
58639.40481,19.338,0.065,0.064
58640.28231,19.377,0.067,0.095
58643.30342,19.168,0.059,0.111
58644.32408,19.376,0.067,0.094
58645.33701,19.34,0.065,0.095
58646.31378,19.355,0.066,0.07
58647.33558,19.419,0.068,0.073
58648.2729,19.379,0.067,0.094
58649.31663,19.496,0.072,0.084
58650.34158,19.346,0.065,0.105
58651.34792,19.343,0.065,0.095
58652.34019,19.344,0.065,0.09
58653.42179,19.408,0.068,0.078
58654.38423,19.216,0.061,0.1
58657.38302,19.32,0.064,0.095
58663.3399,19.381,0.067,0.09
58666.34804,19.27,0.062,0.063
58667.30632,19.344,0.065,0.098
58668.3415,19.332,0.065,0.09
58669.40747,19.365,0.066,0.098
58674.30455,19.305,0.064,0.07
58675.29329,19.391,0.067,0.09
58676.28163,19.42,0.068,0.082
58677.26108,19.182,0.059,0.105
58680.28177,19.318,0.064,0.077
58686.3164,19.255,0.062,0.071
58690.36435,19.221,0.061,0.088
58693.2328,19.422,0.068,0.086
58696.35748,19.285,0.063,0.051
58707.17815,19.341,0.065,0.095
58711.29936,19.237,0.061,0.107
58715.32386,19.265,0.062,0.077
58718.33685,19.274,0.063,0.109
58724.15145,19.483,0.071,0.067
58734.33048,19.371,0.066,0.094
58740.27268,19.456,0.07,0.09
58749.27186,19.353,0.066,0.081
58760.12373,19.337,0.065,0.082
58767.10898,19.316,0.064,0.086
58770.20749,18.998,0.054,0.098
58779.09995,19.416,0.068,0.091
58782.12184,19.344,0.065,0.08
58792.12112,19.35,0.066,0.091
