mjd,mag,magerr,clrcoeff
5815.86581,14.357,0.005,
5816.83994,14.509,0.005,
5817.84053,14.625,0.005,
5818.86966,14.479,0.005,
5819.82360,14.619,0.005,
5820.89105,14.791,0.005,
5822.74756,14.874,0.005,
5822.81126,14.890,0.005,
5822.86266,14.893,0.005,
5822.90839,14.917,0.005,
5823.74889,14.971,0.005,
5823.81874,14.961,0.005,
5823.88612,14.977,0.005,
5824.74613,15.018,0.005,
5824.80808,15.019,0.005,
5824.85964,15.037,0.005,
5824.89908,15.042,0.005,
5825.74572,15.068,0.005,
5825.79633,15.054,0.005,
5825.85038,15.060,0.005,
5825.90279,15.047,0.005,
5826.72672,14.892,0.005,
5826.78767,14.916,0.005,
5826.84481,14.901,0.005,
5826.90284,14.903,0.005,
5827.71453,14.854,0.005,
5827.77986,14.850,0.005,
5827.83878,14.851,0.005,
5827.90122,14.845,0.005,
5828.71520,14.807,0.005,
5828.80057,14.811,0.005,
5828.85142,14.813,0.005,
5828.90140,14.808,0.005,
5829.72135,14.784,0.005,
5829.77199,14.776,0.005,
5829.83771,14.776,0.005,
5829.90021,14.755,0.005,
5830.71279,14.512,0.005,
5830.76800,14.523,0.005,
5830.82924,14.529,0.005,
5830.89866,14.518,0.005,
5831.82159,14.543,0.005,
5832.81107,14.545,0.005,
5833.79538,14.460,0.005,
5834.79632,14.321,0.005,
5835.85622,14.444,0.005,
5836.75942,14.501,0.005,
5837.84156,14.268,0.005,
5839.82370,14.452,0.005,
5840.80664,14.524,0.005,
5841.80366,14.244,0.005,
5842.82187,14.369,0.005,
5843.83732,14.463,0.005,
5845.80137,14.272,0.005,
5846.81281,14.387,0.005,
5850.77660,14.397,0.005,
5851.78569,14.489,0.005,
5852.76813,14.453,0.005,
5853.83916,14.322,0.005,
5854.74319,14.414,0.005,
5855.81320,14.503,0.005,
5856.78572,14.295,0.005,
5857.77004,14.347,0.005,
5858.81997,14.434,0.005,
5859.78789,14.527,0.005,
5860.77352,14.246,0.005,
5861.78254,14.366,0.005,
5862.83585,14.467,0.005,
5863.78444,14.540,0.005,
5865.76162,14.381,0.005,
